date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations_per_million,share_doses_used,fips,deaths,new_cases,total_cases,population
2020-01-21,Washington,,,,,,,,,,,,53,0,1,1,7614800
2020-01-22,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-23,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-24,Illinois,,,,,,,,,,,,17,0,1,1,12672400
2020-01-24,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-25,California,,,,,,,,,,,,6,0,1,1,39513700
2020-01-25,Illinois,,,,,,,,,,,,17,0,0,1,12672400
2020-01-25,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-26,Arizona,,,,,,,,,,,,4,0,1,1,7277900
2020-01-26,California,,,,,,,,,,,,6,0,1,2,39513700
2020-01-26,Illinois,,,,,,,,,,,,17,0,0,1,12672400
2020-01-26,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-27,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-01-27,California,,,,,,,,,,,,6,0,0,2,39513700
2020-01-27,Illinois,,,,,,,,,,,,17,0,0,1,12672400
2020-01-27,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-28,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-01-28,California,,,,,,,,,,,,6,0,0,2,39513700
2020-01-28,Illinois,,,,,,,,,,,,17,0,0,1,12672400
2020-01-28,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-29,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-01-29,California,,,,,,,,,,,,6,0,0,2,39513700
2020-01-29,Illinois,,,,,,,,,,,,17,0,0,1,12672400
2020-01-29,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-30,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-01-30,California,,,,,,,,,,,,6,0,0,2,39513700
2020-01-30,Illinois,,,,,,,,,,,,17,0,1,2,12672400
2020-01-30,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-01-31,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-01-31,California,,,,,,,,,,,,6,0,1,3,39513700
2020-01-31,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-01-31,Washington,,,,,,,,,,,,53,0,0,1,7614800
2020-02-01,Arizona,,,,,,,,,,,,4,0,0,1,7277900
2020-02-01,California,,,,,,,,,,,,6,0,0,3,39513700
2020-02-01,Illinois,,,,,,,,,,,,17,0,0,2,12672400
2020-02-01,Massachusetts,,,,,,,,,,,,25,0,1,1,6892900
